"id","type","hook","text","duration_sec","opening_frame","retention_device","why_viral"
"vr_001","reel_script","POV: ты реально попал в ситуацию ""врач"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""врач"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: I have pain.
3. короткая пауза/реакция лицом
4. живой вариант:
• It hurts here.
• It started yesterday.
• It gets worse when I move.
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: врач. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"vr_002","reel_script","POV: ты реально попал в ситуацию ""small talk"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""small talk"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: Normal.
3. короткая пауза/реакция лицом
4. живой вариант:
• Pretty good, thanks.
• Can't complain.
• How about you?
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: small talk. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"vr_003","reel_script","POV: ты реально попал в ситуацию ""возврат денег"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""возврат денег"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: Give me my money back.
3. короткая пауза/реакция лицом
4. живой вариант:
• I'd like to request a refund.
• The issue hasn't been resolved.
• Could you explain my options?
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: возврат денег. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"vr_004","reel_script","POV: ты реально попал в ситуацию ""рабочий звонок"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""рабочий звонок"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: I don't know.
3. короткая пауза/реакция лицом
4. живой вариант:
• Let me check that.
• I need a minute to think.
• What I mean is...
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: рабочий звонок. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"vr_005","reel_script","POV: ты реально попал в ситуацию ""аренда"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""аренда"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: Fix it now.
3. короткая пауза/реакция лицом
4. живой вариант:
• The heating stopped working.
• Could someone take a look?
• It's quite urgent.
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: аренда. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"vr_006","reel_script","POV: ты реально попал в ситуацию ""дедлайн на работе"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""дедлайн на работе"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: This is impossible.
3. короткая пауза/реакция лицом
4. живой вариант:
• I'm concerned about the timeline.
• To do it properly, we'll need more time.
• Can we adjust the deadline?
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: дедлайн на работе. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"vr_007","reel_script","POV: ты реально попал в ситуацию ""презентация"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""презентация"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: I will tell about...
3. короткая пауза/реакция лицом
4. живой вариант:
• Today I'd like to walk you through...
• The main point is...
• Let me give you an example.
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: презентация. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"vr_008","reel_script","POV: ты реально попал в ситуацию ""школа ребёнка"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""школа ребёнка"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: My child has problem.
3. короткая пауза/реакция лицом
4. живой вариант:
• I'd like to talk about something I'm concerned about.
• Could you tell me what you've noticed?
• What can we do at home?
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: школа ребёнка. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"vr_009","reel_script","POV: ты реально попал в ситуацию ""ресторан"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""ресторан"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: This is wrong.
3. короткая пауза/реакция лицом
4. живой вариант:
• Sorry, I think there was a mix-up.
• I ordered it without cheese.
• Could you change it, please?
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: ресторан. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"vr_010","reel_script","POV: ты реально попал в ситуацию ""несогласие на встрече"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""несогласие на встрече"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: You are wrong.
3. короткая пауза/реакция лицом
4. живой вариант:
• I see your point.
• I'm not sure I agree with that part.
• My concern is...
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: несогласие на встрече. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
