video|slot|role|phrase_en|translation_ru|note
1|1|hook|Everyone saves these|Сохрани это|universal save hook
1|2|phrase|Works for everyone|Всем зайдёт|universal use
1|3|bait|I'm sorted|Мне хватает|bait not sorted objects
1|4|phrasal|Come with me|Идём со мной|simple invite
1|5|phrase|You're safe|Ты в норме|reassurance
2|1|hook|Replies people like|Ответы любят|reply hook
2|2|phrase|Sounds thoughtful|Звучит тепло|warm reply
2|3|bait|Bit much|Перебор|bait not quantity only
2|4|phrasal|Hear me out|Выслушай меня|listen before judging
2|5|phrase|Dead serious|Я серьёзно|sincere
3|1|hook|Sound kinder instantly|Звучит добрей|kindness hook
3|2|phrase|Please relax|Расслабься|calm phrase
3|3|bait|Go right ahead|Пожалуйста|bait not direction only
3|4|phrase|All forgiven|Прощаю|soft reply
3|5|phrase|You matter|Ты важен|support
4|1|hook|Text smarter today|Пиши умнее|text hook
4|2|phrase|Send it over|Пришли это|message action
4|3|bait|Hit send|Нажми отправить|bait not punch send
4|4|phrasal|Read it through|Прочти всё|check message
4|5|phrase|Sounds clear|Всё ясно|message clarity
5|1|hook|Agree without boring|Соглашайся живо|agreement hook
5|2|phrase|Works perfectly|Отлично|agreement
5|3|bait|I follow you|Понимаю тебя|bait not walking behind
5|4|phrase|Point taken|Принято|accept point
5|5|phrase|I'm beside you|Я рядом|support agreement
6|1|hook|Disagree gently now|Спорь мягко|soft disagreement hook
6|2|phrase|I see differently|Вижу иначе|gentle disagreement
6|3|bait|Close but no|Не совсем|bait not physical distance
6|4|phrase|Maybe not|Скорее нет|soft no
6|5|phrase|I get that|Понимаю|acknowledge
7|1|hook|Ask cleaner questions|Спрашивай чётче|question hook
7|2|phrase|What changed|Что изменилось|clarify
7|3|bait|Why though|Почему так|bait not thought only
7|4|phrase|Which one|Который|choice question
7|5|phrase|Any reason|Есть причина|ask reason
8|1|hook|Plans sound smoother|Планы легче|planning hook
8|2|phrase|Book it|Забронируй|arrange
8|3|bait|Pencil me in|Запиши меня|bait not pencil object
8|4|phrase|Same time|В то же время|schedule
8|5|phrase|I'm available|Я свободен|availability
9|1|hook|Time phrases matter|Время важно|time hook
9|2|phrase|Late again|Опаздываю|late status
9|3|bait|Time's up|Время вышло|bait not time upstairs
9|4|phrase|Just in time|Как раз|time phrase
9|5|phrase|Make it quick|Быстрее|speed request
10|1|hook|Work replies win|Работа проще|work hook
10|2|phrase|Looks doable|Выполнимо|work reaction
10|3|bait|Lead from here|Веди дальше|bait not location only
10|4|phrasal|Hand it off|Передай дальше|delegate
10|5|phrase|I'm on track|Иду по плану|progress
11|1|hook|Meetings sound easier|Встречи легче|meeting hook
11|2|phrase|Let's recap|Подведём итог|meeting recap
11|3|bait|Table this|Отложим это|bait not furniture table
11|4|phrase|Good catch|Заметил верно|meeting praise
11|5|phrase|Next point|Следующий пункт|meeting flow
12|1|hook|Emails feel human|Письма живее|email hook
12|2|phrase|Following up|Напоминаю|email opener
12|3|bait|Looping you in|Ввожу тебя|bait not a loop
12|4|phrase|Attached below|Прикрепил ниже|email attachment
12|5|phrase|Thanks plenty|Спасибо большое|polite close
13|1|hook|Calls stop awkwardness|Звонки проще|phone hook
13|2|phrase|Can you hear|Меня слышно|call check
13|3|bait|You're breaking up|Связь рвётся|bait not breakup only
13|4|phrase|Call dropped|Звонок сорвался|call problem
13|5|phrase|I'll text|Я напишу|fallback
14|1|hook|Tech words save|Техника проще|tech hook
14|2|phrase|It crashed|Вылетело|device problem
14|3|bait|Log out fully|Выйди полностью|bait not just leave
14|4|phrasal|Back it up|Сохрани копию|backup
14|5|phrase|Retry once|Ещё раз|retry
15|1|hook|Money talk calmer|Деньги проще|money hook
15|2|phrase|Payment failed|Платёж отклонён|payment issue
15|3|bait|I'm covered|За меня платят|bait not blanket
15|4|phrase|Split evenly|Поровну|pay split
15|5|phrase|Settle later|Оплачу позже|payment
16|1|hook|Food phrases everyone|Еда понятней|food hook
16|2|phrase|Menu please|Меню, пожалуйста|restaurant
16|3|bait|I'm stuffed|Я объелся|bait not filled with objects
16|4|phrase|Less spicy|Не так остро|food request
16|5|phrase|Bill please|Счёт, пожалуйста|restaurant
17|1|hook|Shop without stress|Покупай легче|shopping hook
17|2|phrase|Any discount|Есть скидка|shopping question
17|3|bait|Try it on|Примерь|bait not try abstractly
17|4|phrase|Wrong size|Не тот размер|shopping issue
17|5|phrase|I'll take it|Беру|buy
18|1|hook|Travel sounds safer|Путешествуй проще|travel hook
18|2|phrase|Passport ready|Паспорт готов|travel prep
18|3|bait|Drop luggage|Сдай багаж|bait not drop on floor
18|4|phrase|New gate|Новый гейт|airport
18|5|phrase|Boarding now|Посадка сейчас|airport
19|1|hook|Hotel phrases help|Отель проще|hotel hook
19|2|phrase|Room key|Ключ от номера|hotel
19|3|bait|Checkout time|Пора выезжать|bait not shopping only
19|4|phrase|Late checkout|Поздний выезд|hotel request
19|5|phrase|Quiet room|Тихий номер|hotel preference
20|1|hook|Directions stop panic|Путь без паники|directions hook
20|2|phrase|Go straight|Иди прямо|direction
20|3|bait|Make a right|Поверни направо|bait not create rights
20|4|phrase|Across street|Через дорогу|direction
20|5|phrase|Near entrance|У входа|location
21|1|hook|Home talk matters|Дома легче|home hook
21|2|phrase|Shoes off|Сними обувь|home rule
21|3|bait|Visit me|Заходи ко мне|bait not browser visit only
21|4|phrase|Entry is open|Вход открыт|home
21|5|phrase|Make tea|Завари чай|home action
22|1|hook|Errands get easier|Дела проще|errands hook
22|2|phrase|Pick this up|Забери это|errand
22|3|bait|Drop it off|Оставь это|bait not drop down
22|4|phrase|Nearly arrived|Почти приехал|errand status
22|5|phrase|Need anything|Что-нибудь надо|offer help
23|1|hook|Health phrases save|Здоровье важно|health hook
23|2|phrase|I feel dizzy|Кружится голова|health
23|3|bait|Faint suddenly|Потерять сознание|bait not suddenly passing
23|4|phrase|Call a doctor|Вызови врача|health
23|5|phrase|Need rest|Нужен отдых|health
24|1|hook|Safety words stick|Безопасность важна|safety hook
24|2|phrase|Stay close|Держись рядом|safety
24|3|bait|Mind out|Осторожно|bait not mind noun
24|4|phrase|Call security|Вызови охрану|safety
24|5|phrase|Still okay|Я в порядке|safety status
25|1|hook|Feelings sound real|Чувства живые|feelings hook
25|2|phrase|I'm overwhelmed|Мне тяжело|feeling
