video|slot|role|phrase_en|translation_ru|note
1|1|hook|Say this|Скажи так|direct hook scene language speaking
1|2|phrasal|I'm in|Я в деле|plan agreement scene phone calendar
1|3|bait|Look up|Найди это|not смотреть вверх scene phone search
1|4|phrasal|Come over|Заходи|visit invitation scene door home
1|5|phrase|Sounds good|Звучит норм|agreement scene chat phone
2|1|hook|Stop guessing|Не гадай|direct hook scene quiz thinking
2|2|phrasal|Count me in|Я с вами|join plan scene group calendar
2|3|bait|Give up|Сдайся|not дать вверх scene tired quit
2|4|phrasal|Keep going|Продолжай|encouragement scene running effort
2|5|phrasal|Catch up|Догони|not ловить вверх scene study work
3|1|hook|Real English|Живой английский|direct hook scene language app
3|2|phrase|I'm down|Я за|informal agreement scene friends plan
3|3|bait|Put off|Отложи|not положи прочь scene calendar delay
3|4|phrasal|Show up|Появись|arrive scene door event
3|5|phrasal|Call back|Перезвони|phone scene call
4|1|hook|Use this|Используй это|direct hook scene language phone
4|2|phrase|Works for me|Мне подходит|agreement scene calendar laptop
4|3|bait|Turn up|Появись|not поверни вверх scene event arrival
4|4|phrasal|Bring up|Подними тему|meeting topic scene office talk
4|5|phrasal|Move on|Иди дальше|not move physically only scene walking forward
5|1|hook|Sound natural|Звучи живо|direct hook scene speaking
5|2|phrase|No worries|Ничего|soft response scene friendly chat
5|3|bait|Get over|Переживи это|not перелезь через scene breakup recovery
5|4|phrasal|Reach out|Напиши|contact someone scene phone message
5|5|phrasal|Follow up|Напомни потом|work follow up scene office email
6|1|hook|Try this|Попробуй так|direct hook scene phone learning
6|2|phrase|Fair enough|Справедливо|acceptance scene conversation
6|3|bait|Make up|Помиритесь|not make cosmetics scene couple reconcile
6|4|phrasal|Open up|Откройся|share feelings scene close talk
6|5|phrasal|Calm down|Успокойся|emotion control scene breathing
7|1|hook|Speak easier|Говори проще|direct hook scene student speaking
7|2|phrase|I get it|Я понял|understanding scene nodding
7|3|bait|Work out|Получится|not only gym scene solution puzzle
7|4|phrasal|Figure out|Разберись|solve problem scene laptop notes
7|5|phrasal|Sort out|Разрули|fix issue scene desk planning
8|1|hook|Say less|Понял тебя|direct hook modern phrase scene chat
8|2|phrasal|Write down|Запиши|notes scene notebook pen
8|3|bait|Take off|Взлетай|not снять одежду scene plane departure
8|4|phrasal|Set up|Настрой|setup scene laptop desk
8|5|phrasal|Log in|Войди|computer login scene laptop
9|1|hook|Quick fix|Быстрый фикс|direct hook scene repair idea
9|2|phrasal|Sign up|Запишись|register scene phone form
9|3|bait|Check out|Зацени|not checkout only scene shop browse
9|4|phrasal|Fill out|Заполни|form scene paperwork
9|5|phrasal|Hand in|Сдай|submit work scene paper desk
10|1|hook|Remember this|Запомни это|direct hook scene sticky note
10|2|phrase|My treat|Я плачу|payment scene cafe card
10|3|bait|Pay back|Верни долг|not pay behind scene money wallet
10|4|phrasal|Chip in|Скинься|group payment scene friends bill
10|5|phrasal|Cash out|Выведи деньги|money app scene phone cash
11|1|hook|This helps|Это помогает|direct hook scene learning
11|2|phrase|Up to you|Тебе решать|choice scene two options
11|3|bait|Run into|Встретить|not run inside scene street meeting
11|4|phrasal|Drop by|Заскочи|short visit scene door
11|5|phrasal|Stop by|Загляни|short visit scene shop door
12|1|hook|Native speakers|Носители так|direct hook scene conversation
12|2|phrase|Not really|Не совсем|soft disagreement scene talk
12|3|bait|Come across|Наткнуться|not cross street scene finding item
12|4|phrasal|Point out|Укажи|show detail scene finger laptop
12|5|phrasal|Go over|Проверь|review scene papers desk
13|1|hook|Better phrase|Лучше так|direct hook scene correction
13|2|phrasal|Think over|Обдумай|decision scene thinking notes
13|3|bait|Look after|Присмотри|not look behind scene caring child pet
13|4|phrasal|Take care|Береги себя|care goodbye scene warm friend
13|5|phrasal|Check in|Отпишись|status check scene phone message
14|1|hook|Stop translating|Не переводи|direct hook scene translation app
14|2|phrase|Makes sense|Логично|understanding scene puzzle
14|3|bait|Break down|Сломайся|not break lower scene car problem
14|4|phrasal|Break it down|Объясни проще|explain steps scene whiteboard
14|5|phrasal|Run through|Прогони быстро|review quickly scene presentation
15|1|hook|Use phrasals|Бери фразовые|direct hook scene phrasal verbs
15|2|phrasal|Bring along|Захвати с собой|take with you scene bag door
15|3|bait|Leave out|Убери это|not leave outside scene editing paper
