video|slot|index|english|ipa|russian|kind|topic
1|1|1|Hello|/həˈloʊ/|Привет|word|greetings
1|2|2|Hi|/haɪ/|Привет|word|greetings
1|3|3|Goodbye|/ˌɡʊdˈbaɪ/|До свидания|word|greetings
1|4|4|Bye|/baɪ/|Пока|word|greetings
1|5|5|See you|/siː juː/|До встречи|phrase|greetings
2|1|6|Please|/pliːz/|Пожалуйста|word|politeness
2|2|7|Thank you|/θæŋk juː/|Спасибо|phrase|politeness
2|3|8|Thanks|/θæŋks/|Спасибо|word|politeness
2|4|9|Sorry|/ˈsɑːri/|Извини|word|politeness
2|5|10|Excuse me|/ɪkˈskjuːz miː/|Извините|phrase|politeness
3|1|11|Yes|/jes/|Да|word|basic answers
3|2|12|No|/noʊ/|Нет|word|basic answers
3|3|13|Okay|/oʊˈkeɪ/|Хорошо|word|basic answers
3|4|14|Maybe|/ˈmeɪbi/|Может быть|word|basic answers
3|5|15|I do not know|/aɪ duː nɑːt noʊ/|Я не знаю|phrase|basic answers
4|1|16|What?|/wʌt/|Что?|word|question words
4|2|17|Who?|/huː/|Кто?|word|question words
4|3|18|Where?|/wer/|Где?|word|question words
4|4|19|When?|/wen/|Когда?|word|question words
4|5|20|Why?|/waɪ/|Почему?|word|question words
5|1|21|I|/aɪ/|Я|word|people
5|2|22|You|/juː/|Ты|word|people
5|3|23|He|/hiː/|Он|word|people
5|4|24|She|/ʃiː/|Она|word|people
5|5|25|We|/wiː/|Мы|word|people
6|1|26|They|/ðeɪ/|Они|word|people
6|2|27|It|/ɪt/|Это|word|people
6|3|28|My|/maɪ/|Мой|word|possessives
6|4|29|Your|/jʊr/|Твой|word|possessives
6|5|30|His|/hɪz/|Его|word|possessives
7|1|31|My name is...|/maɪ neɪm ɪz/|Меня зовут...|phrase|introductions
7|2|32|What is your name?|/wʌt ɪz jʊr neɪm/|Как тебя зовут?|phrase|introductions
7|3|33|I am Anna.|/aɪ æm ˈænə/|Я Анна.|phrase|introductions
7|4|34|Nice to meet you.|/naɪs tə miːt juː/|Приятно познакомиться.|phrase|introductions
7|5|35|This is my friend.|/ðɪs ɪz maɪ frend/|Это мой друг.|phrase|introductions
8|1|36|Mother|/ˈmʌðər/|Мама|word|family
8|2|37|Father|/ˈfɑːðər/|Папа|word|family
8|3|38|Brother|/ˈbrʌðər/|Брат|word|family
8|4|39|Sister|/ˈsɪstər/|Сестра|word|family
8|5|40|Family|/ˈfæməli/|Семья|word|family
9|1|41|Friend|/frend/|Друг|word|people
9|2|42|Man|/mæn/|Мужчина|word|people
9|3|43|Woman|/ˈwʊmən/|Женщина|word|people
9|4|44|Boy|/bɔɪ/|Мальчик|word|people
9|5|45|Girl|/ɡɜːrl/|Девочка|word|people
10|1|46|Book|/bʊk/|Книга|word|things
10|2|47|Pen|/pen/|Ручка|word|things
10|3|48|Phone|/foʊn/|Телефон|word|things
10|4|49|Bag|/bæɡ/|Сумка|word|things
10|5|50|Key|/kiː/|Ключ|word|things
11|1|51|House|/haʊs/|Дом|word|home
11|2|52|Room|/ruːm/|Комната|word|home
11|3|53|Door|/dɔːr/|Дверь|word|home
11|4|54|Window|/ˈwɪndoʊ/|Окно|word|home
11|5|55|Table|/ˈteɪbəl/|Стол|word|home
12|1|56|Chair|/tʃer/|Стул|word|home
12|2|57|Bed|/bed/|Кровать|word|home
12|3|58|Kitchen|/ˈkɪtʃən/|Кухня|word|home
12|4|59|Bathroom|/ˈbæθruːm/|Ванная|word|home
12|5|60|Light|/laɪt/|Свет|word|home
13|1|61|Red|/red/|Красный|word|colors
13|2|62|Blue|/bluː/|Синий|word|colors
13|3|63|Green|/ɡriːn/|Зелёный|word|colors
13|4|64|Black|/blæk/|Чёрный|word|colors
13|5|65|White|/waɪt/|Белый|word|colors
14|1|66|Yellow|/ˈjeloʊ/|Жёлтый|word|colors
14|2|67|Brown|/braʊn/|Коричневый|word|colors
14|3|68|Orange|/ˈɔːrɪndʒ/|Оранжевый|word|colors
14|4|69|Pink|/pɪŋk/|Розовый|word|colors
14|5|70|Gray|/ɡreɪ/|Серый|word|colors
15|1|71|One|/wʌn/|Один|word|numbers
15|2|72|Two|/tuː/|Два|word|numbers
15|3|73|Three|/θriː/|Три|word|numbers
15|4|74|Four|/fɔːr/|Четыре|word|numbers
15|5|75|Five|/faɪv/|Пять|word|numbers
16|1|76|Six|/sɪks/|Шесть|word|numbers
16|2|77|Seven|/ˈsevən/|Семь|word|numbers
16|3|78|Eight|/eɪt/|Восемь|word|numbers
16|4|79|Nine|/naɪn/|Девять|word|numbers
16|5|80|Ten|/ten/|Десять|word|numbers
17|1|81|Big|/bɪɡ/|Большой|word|descriptions
17|2|82|Small|/smɔːl/|Маленький|word|descriptions
17|3|83|New|/nuː/|Новый|word|descriptions
17|4|84|Old|/oʊld/|Старый|word|descriptions
17|5|85|Good|/ɡʊd/|Хороший|word|descriptions
18|1|86|Bad|/bæd/|Плохой|word|descriptions
18|2|87|Hot|/hɑːt/|Горячий|word|descriptions
18|3|88|Cold|/koʊld/|Холодный|word|descriptions
18|4|89|Easy|/ˈiːzi/|Лёгкий|word|descriptions
18|5|90|Difficult|/ˈdɪfɪkəlt/|Сложный|word|descriptions
19|1|91|Go|/ɡoʊ/|Идти|word|actions
19|2|92|Come|/kʌm/|Приходить|word|actions
19|3|93|Sit|/sɪt/|Сидеть|word|actions
19|4|94|Stand|/stænd/|Стоять|word|actions
19|5|95|Stop|/stɑːp/|Останавливаться|word|actions
20|1|96|Look|/lʊk/|Смотреть|word|actions
20|2|97|Listen|/ˈlɪsən/|Слушать|word|actions
20|3|98|Speak|/spiːk/|Говорить|word|actions
20|4|99|Read|/riːd/|Читать|word|actions
20|5|100|Write|/raɪt/|Писать|word|actions
21|1|101|Eat|/iːt/|Есть|word|actions
21|2|102|Drink|/drɪŋk/|Пить|word|actions
21|3|103|Sleep|/sliːp/|Спать|word|actions
21|4|104|Walk|/wɔːk/|Ходить пешком|word|actions
21|5|105|Run|/rʌn/|Бегать|word|actions
22|1|106|Open|/ˈoʊpən/|Открывать|word|actions
22|2|107|Close|/kloʊz/|Закрывать|word|actions
22|3|108|Give|/ɡɪv/|Давать|word|actions
22|4|109|Take|/teɪk/|Брать|word|actions
22|5|110|Help|/help/|Помогать|word|actions
23|1|111|Come here.|/kʌm hɪr/|Иди сюда.|phrase|simple commands
23|2|112|Go there.|/ɡoʊ ðer/|Иди туда.|phrase|simple commands
23|3|113|Sit down.|/sɪt daʊn/|Садись.|phrase|simple commands
23|4|114|Stand up.|/stænd ʌp/|Вставай.|phrase|simple commands
23|5|115|Stop here.|/stɑːp hɪr/|Остановись здесь.|phrase|simple commands
24|1|116|Look at me.|/lʊk æt miː/|Смотри на меня.|phrase|simple commands
24|2|117|Listen to me.|/ˈlɪsən tə miː/|Слушай меня.|phrase|simple commands
24|3|118|Read this.|/riːd ðɪs/|Прочитай это.|phrase|simple commands
24|4|119|Write it.|/raɪt ɪt/|Напиши это.|phrase|simple commands
24|5|120|Help me.|/help miː/|Помоги мне.|phrase|simple commands
25|1|121|Water|/ˈwɔːtər/|Вода|word|food and drink
25|2|122|Tea|/tiː/|Чай|word|food and drink
25|3|123|Coffee|/ˈkɔːfi/|Кофе|word|food and drink
25|4|124|Milk|/mɪlk/|Молоко|word|food and drink
25|5|125|Juice|/dʒuːs/|Сок|word|food and drink
26|1|126|Bread|/bred/|Хлеб|word|food and drink
26|2|127|Cheese|/tʃiːz/|Сыр|word|food and drink
26|3|128|Egg|/eɡ/|Яйцо|word|food and drink
26|4|129|Apple|/ˈæpəl/|Яблоко|word|food and drink
26|5|130|Banana|/bəˈnænə/|Банан|word|food and drink
27|1|131|I want to eat.|/aɪ wɑːnt tə iːt/|Я хочу есть.|phrase|food and drink
27|2|132|I want to drink.|/aɪ wɑːnt tə drɪŋk/|Я хочу пить.|phrase|food and drink
27|3|133|I want water.|/aɪ wɑːnt ˈwɔːtər/|Я хочу воды.|phrase|food and drink
27|4|134|I like tea.|/aɪ laɪk tiː/|Мне нравится чай.|phrase|food and drink
27|5|135|No sugar.|/noʊ ˈʃʊɡər/|Без сахара.|phrase|food and drink
28|1|136|Please sit.|/pliːz sɪt/|Садитесь, пожалуйста.|phrase|cafe
28|2|137|Here is your tea.|/hɪr ɪz jʊr tiː/|Вот ваш чай.|phrase|cafe
28|3|138|I want coffee.|/aɪ wɑːnt ˈkɔːfi/|Я хочу кофе.|phrase|cafe
28|4|139|One more, please.|/wʌn mɔːr pliːz/|Ещё один, пожалуйста.|phrase|cafe
28|5|140|The bill, please.|/ðə bɪl pliːz/|Счёт, пожалуйста.|phrase|cafe
29|1|141|Day|/deɪ/|День|word|time
29|2|142|Night|/naɪt/|Ночь|word|time
29|3|143|Morning|/ˈmɔːrnɪŋ/|Утро|word|time
29|4|144|Evening|/ˈiːvnɪŋ/|Вечер|word|time
29|5|145|Today|/təˈdeɪ/|Сегодня|word|time
30|1|146|Tomorrow|/təˈmɑːroʊ/|Завтра|word|time
30|2|147|Yesterday|/ˈjestərdeɪ/|Вчера|word|time
