video|slot|role|phrase_en|translation_ru|note
1|1|hook|Say it right|Скажи верно|language speaking hook
1|2|phrasal|Ease into|Войди мягко|routine transition scene door
1|3|bait|Bring it up|Подними тему|not carry object scene meeting topic
1|4|phrasal|Follow along|Следи дальше|learning screen scene phone
1|5|phrase|Try again|Попробуй еще|practice scene notebook
2|1|hook|Sound less stiff|Звучи живее|language speaking hook
2|2|phrasal|Lean in|Включись|focus scene meeting
2|3|bait|Turn it down|Сделай тише|not refuse only scene volume phone
2|4|phrasal|Keep it simple|Проще|explain simple scene whiteboard
2|5|phrase|That fits|Это подходит|choice scene checklist
3|1|hook|Stop word swapping|Не меняй слова|language translation hook
3|2|phrasal|Think ahead|Думай вперед|planning scene calendar
3|3|bait|Take it in|Осмысли это|not take object scene learning
3|4|phrasal|Go stepwise|Иди шагами|process scene notes
3|5|phrase|Clear enough|Достаточно ясно|clarity scene board
4|1|hook|Use real chunks|Бери блоками|language chunks hook
4|2|phrasal|Build on|Развивай это|idea notes scene laptop
4|3|bait|Come down to|Сводиться к|not descend scene summary board
4|4|phrasal|Map out|Наметь план|planning scene map notes
4|5|phrase|Good point|Верно сказано|conversation scene talk
5|1|hook|Speak in chunks|Говори блоками|language speaking hook
5|2|phrasal|Zoom in|Приблизь|screen detail scene laptop
5|3|bait|Zoom out|Смотри шире|not camera only scene big picture
5|4|phrasal|Mark down|Отметь|notes checklist scene pen
5|5|phrasal|Cross out|Вычеркни|paper editing scene pen
6|1|hook|Fix this mistake|Исправь ошибку|language correction hook
6|2|phrasal|Pair up|Разбейтесь|group task scene people
6|3|bait|Team up|Объединитесь|not sports only scene teamwork
6|4|phrasal|Join in|Входи в круг|group activity scene
6|5|phrase|I'm with you|Я с тобой|support scene friend
7|1|hook|Upgrade your reply|Улучши ответ|language chat hook
7|2|phrasal|Answer back|Ответь резко|reply scene phone
7|3|bait|Talk back|Дерзить|not answer normally scene teen argument
7|4|phrasal|Speak plainly|Говори ясно|clear speech scene meeting
7|5|phrase|I hear you|Я понимаю|empathy scene conversation
8|1|hook|Stop sounding translated|Не звучит живо|translation hook
8|2|phrasal|Blend it in|Встрой это|editing scene laptop
8|3|bait|Work it in|Вплети это|not work job scene writing
8|4|phrasal|Leave room|Оставь место|planning scene calendar
8|5|phrase|Makes it smoother|Так плавней|language improvement scene
9|1|hook|Use this answer|Ответь вот так|language answer hook
9|2|phrasal|Check back|Проверь позже|phone reminder scene
9|3|bait|Check around|Поспрашивай|not look around scene asking people
9|4|phrasal|Ask around|Поспрашивай|people question scene
9|5|phrasal|Report back|Отпишись потом|status update scene phone
10|1|hook|Say it casually|Скажи проще|language casual hook
10|2|phrasal|Pop in|Заскочи|quick visit scene door
10|3|bait|Pop up|Всплыть|not jump up scene notification
10|4|phrasal|Drop in|Зайди быстро|quick visit scene office door
10|5|phrasal|Walk in|Войди|door entrance scene
11|1|hook|Stop overthinking it|Не мудри|language hook thinking
11|2|phrasal|Narrow down|Сузь выбор|choice scene checklist
11|3|bait|Boil down to|Сводиться к|not cooking scene summary
11|4|phrasal|Sum it up|Сведи к сути|summary scene notes
11|5|phrase|Short version|Коротко|summary scene paper
12|1|hook|Choose this wording|Выбери это|language wording hook
12|2|phrasal|Swap out|Замени|editing scene laptop
12|3|bait|Switch over|Переключись|not turn lights scene device
12|4|phrasal|Change over|Перейди|switch system scene laptop
12|5|phrase|Better choice|Лучший выбор|options scene cards
13|1|hook|Learn this chunk|Выучи блок|language chunk hook
