video|slot|role|phrase_en|translation_ru|note
1|1|hook|Fix this phrase|Исправь фразу|language correction hook
1|2|phrasal|Tune in|Включайся|focus scene phone
1|3|bait|Put across|Донеси мысль|not physically put across scene idea
1|4|phrasal|Listen closely|Слушай внимательно|learning scene headphones
1|5|phrase|Sounds cleaner|Звучит чище|speech improvement
2|1|hook|Sound more fluent|Звучи беглее|fluency hook
2|2|phrasal|Ease off|Сбавь|reduce intensity scene hand
2|3|bait|Come through|Получиться|not arrive only scene success support
2|4|phrasal|Keep listening|Слушай дальше|listening scene phone
2|5|phrase|That lands|Это заходит|natural reaction
3|1|hook|Use natural English|Живой английский|natural English hook
3|2|phrasal|Build up|Нарасти|growth scene notes
3|3|bait|Break into|Ворваться|not literal breaking scene starting topic
3|4|phrasal|Practice aloud|Говори вслух|speaking practice scene
3|5|phrase|Feels right|Так верно|correct choice scene
4|1|hook|Speak with rhythm|Говори ритмично|rhythm hook
4|2|phrasal|Slow it down|Замедли|speed control scene timer
4|3|bait|Pick apart|Разбери|not destroy scene analysis
4|4|phrasal|Say clearly|Говори четко|speaking scene microphone
4|5|phrase|Nice flow|Хороший ритм|flow scene
5|1|hook|Stop stiff answers|Не отвечай сухо|stiff answer hook
5|2|phrasal|Loosen the tone|Смягчи тон|tone scene conversation
5|3|bait|Sound too formal|Звучать сухо|not official only scene stiff talk
5|4|phrasal|Be warmer|Будь теплее|friendly talk scene
5|5|phrase|Less stiff|Менее сухо|tone result
6|1|hook|Say this faster|Скажи быстрее|speed hook
6|2|phrasal|Speed it up|Ускорь|timer scene
6|3|bait|Run over|Пробеги|review quickly not car scene
6|4|phrasal|Keep pace|Держи темп|pace scene running
6|5|phrase|Quick version|Коротко|short version scene
7|1|hook|Upgrade this line|Улучши строку|line upgrade hook
7|2|phrasal|Swap in|Вставь|replace word scene edit
7|3|bait|Leave aside|Отложи|leave topic aside scene desk
7|4|phrasal|Try this one|Попробуй это|choice scene phone
7|5|phrase|Better fit|Лучше подходит|fit scene
8|1|hook|Make English click|Пойми английский|understanding hook
8|2|phrasal|Link up|Свяжи|connection scene puzzle
8|3|bait|Click with|Зайти кому-то|not mouse click scene understanding
8|4|phrasal|Use context|Бери контекст|context scene notes
8|5|phrase|Now it clicks|Теперь понятно|aha scene
9|1|hook|Stop bad habits|Убери привычки|habit hook
9|2|phrasal|Scale back|Убавь|reduce scene receipt
9|3|bait|Fall into|Попасть в|fall into habit scene pattern
9|4|phrasal|Watch patterns|Следи за схемой|pattern scene notebook
9|5|phrase|Cleaner speech|Чище речь|clean speech scene
10|1|hook|Use better chunks|Бери блоки|chunk hook
10|2|phrasal|Fold in|Встрой|insert phrase scene edit
10|3|bait|Get past|Обойди|get past problem scene laptop
10|4|phrasal|Keep structure|Держи структуру|structure scene notes
10|5|phrase|Chunk it|Блоками|chunk scene
11|1|hook|Say it smoother|Скажи плавнее|smooth speech hook
11|2|phrasal|Blend together|Слей вместе|merge scene editing
11|3|bait|Smooth over|Сгладить|smooth conflict scene calm
11|4|phrasal|Pause less|Меньше пауз|pause scene microphone
11|5|phrase|Better rhythm|Лучше ритм|rhythm scene
12|1|hook|Sound more relaxed|Звучи спокойней|relaxed tone hook
12|2|phrasal|Settle down|Успокойся|settle scene sofa
12|3|bait|Open into|Открыться в|open into topic scene book
12|4|phrasal|Breathe first|Вдохни сначала|breathing scene
12|5|phrase|Easy tone|Легкий тон|easy tone scene
13|1|hook|Reply with confidence|Ответь уверенно|confidence hook
13|2|phrasal|Step forward|Шагни вперед|step forward scene stage
13|3|bait|Stand behind|Поддержать|support idea scene proof
13|4|phrasal|Say calmly|Скажи спокойно|calm answer scene
13|5|phrase|Clear reply|Ясный ответ|reply scene
14|1|hook|Use smarter replies|Ответь умнее|smart reply hook
14|2|phrasal|Come prepared|Подготовься|prepare scene notes
14|3|bait|Think through|Продумай|think carefully scene
14|4|phrasal|Answer simply|Ответь просто|simple answer scene
14|5|phrase|Good answer|Хороший ответ|answer scene
15|1|hook|Fix your wording|Исправь формулировку|wording hook
15|2|phrasal|Write over|Перепиши|rewrite scene laptop
15|3|bait|Cross through|Вычеркни|cross text scene paper
15|4|phrasal|Edit lightly|Правь легко|editing scene
15|5|phrase|Sharper wording|Четче|sharp text scene
16|1|hook|Try native phrasing|Фраза как у своих|native phrasing hook
16|2|phrasal|Plug into|Подключи|connect scene cable
16|3|bait|Fit together|Сойтись|match pieces scene
16|4|phrasal|Use smoothly|Бери плавно|natural use scene
16|5|phrase|Native feel|Живой вайб|native feel scene
17|1|hook|Stop textbook speech|Не как учебник|textbook hook
17|2|phrasal|Break away|Оторвись|break from book scene
17|3|bait|Move beyond|Выйди за|beyond limit scene
17|4|phrasal|Sound human|Звучи человеком|human talk scene
17|5|phrase|Real talk|Живая речь|real talk scene
18|1|hook|Use everyday English|На каждый день|everyday hook
18|2|phrasal|Reach into|Дотянись|reach resource scene
18|3|bait|Pull together|Собери вместе|assemble idea scene
18|4|phrasal|Say daily|Говори ежедневно|daily practice scene
18|5|phrase|Useful line|Полезная фраза|useful scene
19|1|hook|Make it practical|Сделай практично|practical hook
19|2|phrasal|Carry into|Перенеси|carry idea to action scene
19|3|bait|Put into|Примени|apply phrase scene
19|4|phrasal|Use today|Используй сегодня|today calendar scene
19|5|phrase|Practical phrase|Практичная фраза|practical scene
20|1|hook|Say this first|Сначала скажи это|first phrase hook
20|2|phrasal|Open strong|Начни сильно|opening scene door
20|3|bait|Lead into|Подвести к|lead into topic scene
20|4|phrasal|Start clean|Начни чисто|start scene
20|5|phrase|Strong start|Сильный старт|strong start scene
21|1|hook|Keep it friendly|Держи дружелюбно|friendly hook
21|2|phrasal|Warm up to|Потеплей|warm tone scene
21|3|bait|Look like|Выглядеть как|impression scene
21|4|phrasal|Smile slightly|Улыбнись чуть|smile scene
21|5|phrase|Friendly tone|Дружелюбный тон|friendly tone scene
22|1|hook|Ask more naturally|Спроси естественно|question hook
22|2|phrasal|Ask about|Спроси о|ask topic scene
22|3|bait|Check into|Проверить|investigate scene
22|4|phrasal|Use a question|Задай вопрос|question scene
22|5|phrase|Natural ask|Живой вопрос|natural question scene
23|1|hook|Answer more clearly|Ответь яснее|clear answer hook
23|2|phrasal|Clear away|Убери лишнее|clear clutter scene
23|3|bait|Come back to|Вернуться к|return to topic scene
23|4|phrasal|Keep it clear|Держи ясно|clarity scene
23|5|phrase|Clear answer|Ясный ответ|answer scene
24|1|hook|Use softer English|Мягкий английский|soft English hook
24|2|phrasal|Dial back|Сбавь|reduce tone scene
24|3|bait|Hold together|Держаться вместе|keep together scene
24|4|phrasal|Soften tone|Смягчи тон|soft tone scene
24|5|phrase|Kind answer|Добрый ответ|kind answer scene
25|1|hook|Sound polite fast|Вежливо быстро|polite hook
25|2|phrasal|Step aside|Отойди|step aside scene
25|3|bait|Hand back|Верни|return item scene
25|4|phrasal|Keep polite|Оставайся вежливым|polite scene
25|5|phrase|Nice wording|Хорошая формулировка|wording scene
26|1|hook|Stop long answers|Не отвечай длинно|short answer hook
26|2|phrasal|Cut through|Прорваться|cut through clutter scene
