"id","type","platform_priority","text","media_file","why_viral"
"sm_001","text_thread","threads>facebook","Неприятная правда: взрослые часто знают больше английского, чем могут сказать вслух.

Ситуация: рабочий звонок.
На рабочем звонке английский есть в голове, но ответ не выходит вовремя.

Что обычно происходит:
1. человек понимает вопрос
2. начинает переводить с русского
3. боится ошибки
4. отвечает слишком резко или молчит

Лучше иметь готовые входы:
• Let me check that.
• I need a minute to think.
• What I mean is...

Не надо ждать идеального английского. Нужен первый спокойный ход.","","узнаваемая взрослая боль; комментарии про личный опыт; можно сохранить как опору"
"sm_002","saveable_phrase_bank","instagram>facebook>threads","5 фраз на английском для ситуации: банк

1. I don't recognize this charge.
2. Could you check the details?
3. I'd like to dispute it.
4. When will I get an update?
5. Could you send confirmation?

Смысл не в том, чтобы выучить список.
Смысл в том, чтобы в стрессовый момент не собирать английский с нуля.","media/sm_002.png","сохраняемость; практическая ситуация; короткий список"
"sm_003","mistake_fix","instagram>threads>facebook","Не говори: I am agree
Лучше: I agree.

Почему: agree уже глагол, ему не нужен am.

Такие ошибки не страшные. Но они сразу выдают перевод с русского.
Сохрани, если хочешь звучать естественнее.","media/sm_003.png","быстрый дофамин исправления; легко репостнуть; простая польза"
"sm_004","comment_prompt","threads>facebook","Как бы ты сказал по-английски: ""My child has problem."" без грубости?

Мой вариант:
I'd like to talk about something I'm concerned about.

А теперь интересно: какой вариант первым пришёл тебе в голову?","","просит лёгкий комментарий; нет стыда; люди сравнивают варианты"
"sm_005","adult_micro_story","facebook>threads","Взрослый английский начинается не с Present Perfect.

Он начинается, когда small talk, тебе нужно сказать что-то простое, но спокойно.

Не Normal.
А: Pretty good, thanks.

Люди 30+ хотят не казаться закрытыми или странными в обычном разговоре.

Phraseman помогает тренировать живые фразы с озвучкой и объяснениями по-русски.","","эмоциональный контекст; мягкая продажа; 30+ узнают себя"
"sm_006","carousel_seed","instagram>facebook","Карусель: отель

Слайд 1: В отеле нужно объяснить проблему спокойно: номер, карта, шум, поздний заезд.
Слайд 2: Неудачный дословный вариант — My room is bad.
Слайд 3: Почему это звучит не так
Слайд 4-8: There seems to be a problem with my room. / The key card isn't working. / Could someone take a look? / Is it possible to change rooms? / Thank you for sorting this out.
Финал: тренируй готовые фразы, а не отдельные слова.","media/sm_006.png","IG/FB любят сохраняемые карточки; понятная серия; сценарность"
"sm_007","reel_script","instagram>threads>facebook","POV: ты реально попал в ситуацию ""врач"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: I have pain.
3. короткая пауза/реакция лицом
4. живой вариант:
• It hurts here.
• It started yesterday.
• It gets worse when I move.
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"sm_008","roleplay_sketch","instagram>threads>facebook","Тот самый момент, когда аэропорт, а ты переводишь с русского

Скетч:
Русская мысль: Where I go?
Внутренний голос: звучит слишком резко.
Нормальный английский: Has the gate changed?
Если нужно мягче: Is the flight delayed?

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","","узнавание; комедийная роль; легко отправить другу"
"sm_009","native_surprise","instagram>threads>facebook","Английский странный: почему не ""I very like it"", а ""I really like it.""?

Русская логика говорит: I very like it
Живой английский говорит: I really like it.

Почему: very не усиливает глагол напрямую.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","media/sm_009.png","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"sm_010","text_thread","threads>facebook","Неприятная правда: взрослые часто знают больше английского, чем могут сказать вслух. — для работы, вариант 2

Неприятная правда: взрослые часто знают больше английского, чем могут сказать вслух.

Ситуация: аренда.
Когда дома что-то сломалось, хочется написать арендодателю без агрессии.

Что обычно происходит:
1. человек понимает вопрос
2. начинает переводить с русского
3. боится ошибки
4. отвечает слишком резко или молчит

Лучше иметь готовые входы:
• The heating stopped working.
• Could someone take a look?
• It's quite urgent.

Не надо ждать идеального английского. Нужен первый спокойный ход.","","узнаваемая взрослая боль; комментарии про личный опыт; можно сохранить как опору"
"sm_011","saveable_phrase_bank","instagram>facebook>threads","5 фраз на английском для ситуации: собеседование

1. My main experience is in...
2. I was responsible for...
3. One project I'm proud of is...
4. What I learned there was...
5. I'm looking for a role where...

Смысл не в том, чтобы выучить список.
Смысл в том, чтобы в стрессовый момент не собирать английский с нуля.","media/sm_011.png","сохраняемость; практическая ситуация; короткий список"
"sm_012","mistake_fix","instagram>threads>facebook","Не говори: Tell me please
Лучше: Could you tell me, please?

Почему: прямой порядок звучит как команда.

Такие ошибки не страшные. Но они сразу выдают перевод с русского.
Сохрани, если хочешь звучать естественнее.","media/sm_012.png","быстрый дофамин исправления; легко репостнуть; простая польза"
"sm_013","comment_prompt","threads>facebook","Как бы ты сказал по-английски: ""This is wrong."" без грубости?

Мой вариант:
Sorry, I think there was a mix-up.

А теперь интересно: какой вариант первым пришёл тебе в голову?","","просит лёгкий комментарий; нет стыда; люди сравнивают варианты"
