index|english|ipa|russian|topic
1|How are you?|/haʊ ɑːr juː/|Как ты?|conversation
2|I'm fine, thanks.|/aɪm faɪn θæŋks/|Я в порядке, спасибо.|conversation
3|And you?|/ænd juː/|А ты?|conversation
4|What's new?|/wʌts nuː/|Что нового?|conversation
5|Not much.|/nɑːt mʌtʃ/|Ничего особенного.|conversation
6|I'm busy.|/aɪm ˈbɪzi/|Я занят.|conversation
7|I have time.|/aɪ hæv taɪm/|У меня есть время.|conversation
8|I'm ready.|/aɪm ˈredi/|Я готов.|conversation
9|I'm late.|/aɪm leɪt/|Я опаздываю.|conversation
10|I'm early.|/aɪm ˈɜːrli/|Я пришёл рано.|conversation
11|Please wait.|/pliːz weɪt/|Пожалуйста, подожди.|conversation
12|Wait a minute.|/weɪt ə ˈmɪnɪt/|Подожди минуту.|conversation
13|Just a moment.|/dʒʌst ə ˈmoʊmənt/|Только минутку.|conversation
14|No problem.|/noʊ ˈprɑːbləm/|Без проблем.|conversation
15|That's fine.|/ðæts faɪn/|Всё в порядке.|conversation
16|That's okay.|/ðæts oʊˈkeɪ/|Ничего страшного.|conversation
17|Never mind.|/ˈnevər maɪnd/|Неважно.|conversation
18|Of course.|/əv kɔːrs/|Конечно.|conversation
19|Really?|/ˈriːəli/|Правда?|conversation
20|I think so.|/aɪ θɪŋk soʊ/|Я так думаю.|conversation
21|I don't think so.|/aɪ doʊnt θɪŋk soʊ/|Я так не думаю.|conversation
22|I agree.|/aɪ əˈɡriː/|Я согласен.|conversation
23|I don't agree.|/aɪ doʊnt əˈɡriː/|Я не согласен.|conversation
24|You're right.|/jʊr raɪt/|Ты прав.|conversation
25|I'm not sure.|/aɪm nɑːt ʃʊr/|Я не уверен.|conversation
26|It depends.|/ɪt dɪˈpendz/|Это зависит от ситуации.|conversation
27|Sounds good.|/saʊndz ɡʊd/|Звучит хорошо.|conversation
28|Great idea.|/ɡreɪt aɪˈdiːə/|Отличная идея.|conversation
29|That's interesting.|/ðæts ˈɪntrəstɪŋ/|Это интересно.|conversation
30|I like it.|/aɪ laɪk ɪt/|Мне это нравится.|conversation
31|I don't like it.|/aɪ doʊnt laɪk ɪt/|Мне это не нравится.|conversation
32|Me too.|/miː tuː/|Я тоже.|conversation
33|Not me.|/nɑːt miː/|Не я.|conversation
34|I need time.|/aɪ niːd taɪm/|Мне нужно время.|conversation
35|I'm coming.|/aɪm ˈkʌmɪŋ/|Я иду.|conversation
36|I'm leaving.|/aɪm ˈliːvɪŋ/|Я ухожу.|conversation
37|I'm back.|/aɪm bæk/|Я вернулся.|conversation
38|I'm here.|/aɪm hɪr/|Я здесь.|conversation
39|Are you there?|/ɑːr juː ðer/|Ты там?|conversation
40|See you soon.|/siː juː suːn/|Скоро увидимся.|conversation
41|What happened?|/wʌt ˈhæpənd/|Что случилось?|conversation
42|Are you okay?|/ɑːr juː oʊˈkeɪ/|Ты в порядке?|conversation
43|I'm okay.|/aɪm oʊˈkeɪ/|Я в порядке.|conversation
44|Don't worry.|/doʊnt ˈwɜːri/|Не волнуйся.|conversation
45|Be careful.|/biː ˈkerfəl/|Будь осторожен.|conversation
46|Take your time.|/teɪk jʊr taɪm/|Не спеши.|conversation
47|Hurry up.|/ˈhɜːri ʌp/|Поторопись.|conversation
48|Slow down.|/sloʊ daʊn/|Помедленнее.|conversation
49|Come with me.|/kʌm wɪð miː/|Пойдём со мной.|conversation
50|Stay here.|/steɪ hɪr/|Останься здесь.|conversation
51|Follow me.|/ˈfɑːloʊ miː/|Иди за мной.|conversation
52|Let's start.|/lets stɑːrt/|Давай начнём.|conversation
53|Let's try.|/lets traɪ/|Давай попробуем.|conversation
54|Try again.|/traɪ əˈɡen/|Попробуй ещё раз.|conversation
55|Keep going.|/kiːp ˈɡoʊɪŋ/|Продолжай.|conversation
56|Don't stop.|/doʊnt stɑːp/|Не останавливайся.|conversation
57|It's my turn.|/ɪts maɪ tɜːrn/|Моя очередь.|conversation
58|Your turn.|/jʊr tɜːrn/|Твоя очередь.|conversation
59|Let's check.|/lets tʃek/|Давай проверим.|conversation
60|Let's see.|/lets siː/|Давай посмотрим.|conversation
61|I have work.|/aɪ hæv wɜːrk/|У меня есть работа.|daily_life
62|I'm at work.|/aɪm æt wɜːrk/|Я на работе.|daily_life
63|I'm on break.|/aɪm ɑːn breɪk/|Я на перерыве.|daily_life
64|I'm tired today.|/aɪm ˈtaɪərd təˈdeɪ/|Я сегодня устал.|daily_life
65|I'm hungry.|/aɪm ˈhʌŋɡri/|Я голоден.|daily_life
66|I'm thirsty.|/aɪm ˈθɜːrsti/|Я хочу пить.|daily_life
67|I'm sleepy.|/aɪm ˈsliːpi/|Я хочу спать.|daily_life
68|I'm sick.|/aɪm sɪk/|Я болен.|daily_life
69|I feel better.|/aɪ fiːl ˈbetər/|Мне лучше.|daily_life
