video|slot|role|situation|phrase_en|translation_ru|note
1|1|hook|hotel check-in|There's a problem|Тут проблема|direct problem hook
1|2|phrase|hotel check-in|My booking's missing|Брони нет|booking not found
1|3|bait|hotel check-in|I'm checking in|Я заселяюсь|bait: checking in is hotel arrival, not checking something
1|4|phrase|hotel check-in|Could you check?|Можете проверить?|polite request
1|5|phrase|hotel check-in|I booked online|Я бронировал онлайн|booking context
2|1|hook|hotel room|This room's freezing|Здесь жутко холодно|strong room complaint
2|2|phrase|hotel room|The heater's broken|Обогрев сломан|clear room issue
2|3|bait|hotel room|Sort this out|Разберитесь с этим|bait: sort out means fix the problem, not arrange objects
2|4|phrase|hotel room|I need blankets|Нужны одеяла|practical request
2|5|phrase|hotel room|When's checkout?|Когда выезд?|hotel timing
3|1|hook|airport disruption|We've been bumped|Нас сняли с рейса|strong flight disruption hook
3|2|phrase|airport disruption|Our flight's delayed|Рейс задержали|common airport phrase
3|3|bait|airport disruption|I'm on standby|Я в листе ожидания|bait: standby is a waiting list, not standing nearby
3|4|phrase|airport disruption|Where's security?|Где досмотр?|airport navigation
3|5|phrase|airport disruption|Which gate now?|Какой теперь выход?|gate change context
4|1|hook|lost luggage|My bag's gone|Моя сумка пропала|urgent luggage hook
4|2|phrase|lost luggage|Here's my tag|Вот моя бирка|baggage claim detail
4|3|bait|lost luggage|It went missing|Она пропала|bait: went missing means disappeared, not went somewhere
4|4|phrase|lost luggage|Please trace it|Найдите её пожалуйста|luggage tracking
4|5|phrase|lost luggage|I need essentials|Нужно самое нужное|emergency supplies
5|1|hook|taxi directions|We're going wrong|Мы едем не туда|direct route warning
5|2|phrase|taxi directions|Please stop here|Остановите здесь|taxi request
5|3|bait|taxi directions|Drop me off|Высадите меня|bait: drop off means take and leave, not drop physically
5|4|phrase|taxi directions|Avoid the motorway|Не езжайте по трассе|route preference
5|5|phrase|taxi directions|How much roughly?|Примерно сколько?|fare estimate
6|1|hook|metro transfer|We missed it|Мы не успели|missed transport hook
6|2|phrase|metro transfer|When's the next?|Когда следующий?|next service
