lesson1_phrase_1	Estoy aquí.
lesson1_phrase_2	Estás listo.
lesson1_phrase_3	Él está ocupado.
lesson1_phrase_4	Ella está en casa.
lesson1_phrase_5	Estamos juntos.
lesson1_phrase_6	Están contentos.
lesson1_phrase_7	Es importante.
lesson1_phrase_8	Estoy bien.
lesson1_phrase_9	Tienes razón.
lesson1_phrase_10	Estamos a salvo.
lesson1_phrase_11	Él está enfermo.
lesson1_phrase_12	Es barato.
lesson1_phrase_13	Somos amigos.
lesson1_phrase_14	Está contrariada.
lesson1_phrase_15	Llegas tarde.
lesson1_phrase_16	Estoy en el trabajo.
lesson1_phrase_17	Ya vamos de camino.
lesson1_phrase_18	Están en el coche.
lesson1_phrase_19	Ella está de vacaciones.
lesson1_phrase_20	Es gratis.
lesson1_phrase_21	Estoy en la cola.
lesson1_phrase_22	Estamos en el ascensor.
lesson1_phrase_23	Está en la cocina.
lesson1_phrase_24	Eres muy amable.
lesson1_phrase_25	Es urgente.
lesson1_phrase_26	Estoy impactado.
lesson1_phrase_27	Estamos en un taxi.
lesson1_phrase_28	Está casada.
lesson1_phrase_29	Estás bien.
lesson1_phrase_30	Están fuera.
lesson1_phrase_31	Estoy en el aeropuerto.
lesson1_phrase_32	Estamos en el tren.
lesson1_phrase_33	Está en el baño.
lesson1_phrase_34	Es inteligente.
lesson1_phrase_35	Ella está en la tienda.
lesson1_phrase_36	Estoy en el gimnasio.
lesson1_phrase_37	Estamos en el autobús.
lesson1_phrase_38	Está cerca de aquí.
lesson1_phrase_39	Están cansados.
lesson1_phrase_40	Estás en la lista.
lesson1_phrase_41	Estoy en la farmacia.
lesson1_phrase_42	Ella está en el hotel.
lesson1_phrase_43	Estamos en el extranjero.
lesson1_phrase_44	Tienen hambre.
lesson1_phrase_45	Está roto.
lesson1_phrase_46	Él está enfadado.
lesson1_phrase_47	Están en el taxi.
lesson1_phrase_48	Él está en la escuela.
lesson1_phrase_49	Está vacío.
lesson1_phrase_50	Ella está nerviosa.
lesson2_phrase_1	No tengo hambre.
lesson2_phrase_2	¿Estás seguro?
lesson2_phrase_3	Él no está aquí.
lesson2_phrase_4	¿Es caro?
lesson2_phrase_5	No estamos listos.
lesson2_phrase_6	No están en casa.
lesson2_phrase_7	¿Es médica?
lesson2_phrase_8	No da miedo.
lesson2_phrase_9	¿Estás ocupado?
lesson2_phrase_10	No estoy solo.
lesson2_phrase_11	No estamos en peligro.
lesson2_phrase_12	¿Está enfadado?
lesson2_phrase_13	No está en el trabajo.
lesson2_phrase_14	No está casada.
lesson2_phrase_15	¿Está abierto?
lesson2_phrase_16	No estás en la lista.
lesson2_phrase_17	¿Es gratis?
lesson2_phrase_18	No están ocupados.
lesson2_phrase_19	¿Acaso no tengo razón yo?
lesson2_phrase_20	Ella no está en la tienda.
lesson2_phrase_21	No es una broma.
lesson2_phrase_22	¿Estás bien?
lesson2_phrase_23	Él no tiene hambre.
lesson2_phrase_24	¿Está ella en el taxi?
lesson2_phrase_25	No estamos en el colegio.
lesson2_phrase_26	No tengo miedo.
lesson2_phrase_27	¿Están ellos aquí?
lesson2_phrase_28	Ella no está enfadada.
lesson2_phrase_29	¿Queda lejos?
lesson2_phrase_30	No somos enemigos.
lesson2_phrase_31	¿Acaso no estás equivocado?
lesson2_phrase_32	¿Está en la oficina?
lesson2_phrase_33	No estoy de humor.
lesson2_phrase_34	¿Es verdad?
lesson2_phrase_35	No estamos en una trampa.
lesson2_phrase_36	No están listos.
lesson2_phrase_37	No importa tanto.
lesson2_phrase_38	¿Vas ya de camino?
lesson2_phrase_39	Ella no está enferma.
lesson2_phrase_40	No estoy en el coche.
lesson2_phrase_41	No tenemos culpa.
lesson2_phrase_42	¿Está en el ascensor?
lesson2_phrase_43	No es peligroso.
lesson2_phrase_44	¿Estás en el edificio?
lesson2_phrase_45	No soy cruel.
lesson2_phrase_46	Ella no está en el parque.
lesson2_phrase_47	¿No estamos en la lista?
lesson2_phrase_48	No es grave.
lesson2_phrase_49	No están juntos.
lesson2_phrase_50	No tienes razón.
lesson3_phrase_1	Trabajo aquí.
lesson3_phrase_2	Me entiendes.
lesson3_phrase_3	Vive en Londres.
lesson3_phrase_4	Bebemos café.
lesson3_phrase_5	Habla inglés.
lesson3_phrase_6	Miran las noticias.
lesson3_phrase_7	Ayuda a la gente.
lesson3_phrase_8	Sabes la respuesta.
lesson3_phrase_9	Él come carne.
lesson3_phrase_10	Te creo.
lesson3_phrase_11	Le gusta la música.
lesson3_phrase_12	Compramos comida.
lesson3_phrase_13	Cuesta un dólar.
lesson3_phrase_14	Viven aquí.
lesson3_phrase_15	Lees libros.
lesson3_phrase_16	Llego tarde a casa.
lesson3_phrase_17	Escribe cartas.
lesson3_phrase_18	Escuchamos música.
lesson3_phrase_19	Lava los platos.
lesson3_phrase_20	Conducen un coche.
lesson3_phrase_21	Te lo mereces.
lesson3_phrase_22	Llama a menudo.
lesson3_phrase_23	Prepara la cena.
lesson3_phrase_24	Siento dolor.
lesson3_phrase_25	Prometemos ayudar.
lesson3_phrase_26	Viajan seguido.
lesson3_phrase_27	Parece raro.
lesson3_phrase_28	Valoramos el tiempo.
lesson3_phrase_29	Enseña matemáticas.
lesson3_phrase_30	Olvidas las llaves.
lesson3_phrase_31	Me acuerdo de esta contraseña.
lesson3_phrase_32	Lleva gafas.
lesson3_phrase_33	Pedimos pizza.
lesson3_phrase_34	Usa Internet.
lesson3_phrase_35	Trabajan aquí.
lesson3_phrase_36	Te mereces descansar.
lesson3_phrase_37	Llaman a menudo.
lesson3_phrase_38	Da clases de música.
lesson3_phrase_39	Aceptamos las condiciones.
lesson3_phrase_40	Lleva tiempo.
lesson3_phrase_41	Entiendo el problema.
lesson3_phrase_42	Te ves genial.
lesson3_phrase_43	Él bebe té.
lesson3_phrase_44	Sabe la dirección.
lesson3_phrase_45	Esperamos aquí.
lesson3_phrase_46	Llegan a tiempo.
