"id","type","hook","text","duration_sec","opening_frame","retention_device","why_viral"
"sm_007","reel_script","POV: ты реально попал в ситуацию ""врач"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""врач"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: I have pain.
3. короткая пауза/реакция лицом
4. живой вариант:
• It hurts here.
• It started yesterday.
• It gets worse when I move.
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: врач. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"sm_008","roleplay_sketch","Тот самый момент, когда аэропорт, а ты переводишь с русского","Тот самый момент, когда аэропорт, а ты переводишь с русского

Скетч:
Русская мысль: Where I go?
Внутренний голос: звучит слишком резко.
Нормальный английский: Has the gate changed?
Если нужно мягче: Is the flight delayed?

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""Where I go?""","","узнавание; комедийная роль; легко отправить другу"
"sm_009","native_surprise","Английский странный: почему не ""I very like it"", а ""I really like it.""?","Английский странный: почему не ""I very like it"", а ""I really like it.""?

Русская логика говорит: I very like it
Живой английский говорит: I really like it.

Почему: very не усиливает глагол напрямую.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""I very like it"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"sm_016","reel_script","POV: ты реально попал в ситуацию ""small talk"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""small talk"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: Normal.
3. короткая пауза/реакция лицом
4. живой вариант:
• Pretty good, thanks.
• Can't complain.
• How about you?
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: small talk. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"sm_017","roleplay_sketch","Тот самый момент, когда отель, а ты переводишь с русского","Тот самый момент, когда отель, а ты переводишь с русского

Скетч:
Русская мысль: My room is bad.
Внутренний голос: звучит слишком резко.
Нормальный английский: There seems to be a problem with my room.
Если нужно мягче: The key card isn't working.

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""My room is bad.""","","узнавание; комедийная роль; легко отправить другу"
"sm_018","native_surprise","Английский странный: почему не ""I wait you"", а ""I'll wait for you.""?","Английский странный: почему не ""I wait you"", а ""I'll wait for you.""?

Русская логика говорит: I wait you
Живой английский говорит: I'll wait for you.

Почему: wait почти всегда требует for перед человеком.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""I wait you"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"sm_025","reel_script","POV: ты реально попал в ситуацию ""возврат денег"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""возврат денег"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: Give me my money back.
3. короткая пауза/реакция лицом
4. живой вариант:
• I'd like to request a refund.
• The issue hasn't been resolved.
• Could you explain my options?
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: возврат денег. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"sm_026","roleplay_sketch","Тот самый момент, когда телефонный звонок, а ты переводишь с русского","Тот самый момент, когда телефонный звонок, а ты переводишь с русского

Скетч:
Русская мысль: I don't hear.
Внутренний голос: звучит слишком резко.
Нормальный английский: Sorry, the line is breaking up.
Если нужно мягче: Could you repeat the last part?

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""I don't hear.""","","узнавание; комедийная роль; легко отправить другу"
"sm_027","native_surprise","Английский странный: почему не ""Open me the door"", а ""Open the door for me.""?","Английский странный: почему не ""Open me the door"", а ""Open the door for me.""?

Русская логика говорит: Open me the door
Живой английский говорит: Open the door for me.

Почему: for me уходит в конец.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""Open me the door"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"sm_034","reel_script","POV: ты реально попал в ситуацию ""рабочий звонок"" и английский нужен сейчас","POV: ты реально попал в ситуацию ""рабочий звонок"" и английский нужен сейчас

Формат видео:
1. первый кадр — реальная взрослая ситуация, не студийная лекция
2. плохой вариант на экране: I don't know.
3. короткая пауза/реакция лицом
4. живой вариант:
• Let me check that.
• I need a minute to think.
• What I mean is...
5. финал: одна фраза, которую хочется сохранить

Смысл: не объяснять английский с доски, а показать момент, где он нужен.","28","Крупный живой кадр: рабочий звонок. Текст: ""Английский нужен не потом, а сейчас""","каждая следующая фраза закрывает реальную проблему в сцене","реальная сцена вместо урока; лицо/эмоция; польза встроена в сюжет"
"sm_035","roleplay_sketch","Тот самый момент, когда банк, а ты переводишь с русского","Тот самый момент, когда банк, а ты переводишь с русского

Скетч:
Русская мысль: You took my money.
Внутренний голос: звучит слишком резко.
Нормальный английский: I don't recognize this charge.
Если нужно мягче: Could you check the details?

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""You took my money.""","","узнавание; комедийная роль; легко отправить другу"
"sm_036","native_surprise","Английский странный: почему не ""Discuss about it"", а ""Discuss it.""?","Английский странный: почему не ""Discuss about it"", а ""Discuss it.""?

Русская логика говорит: Discuss about it
Живой английский говорит: Discuss it.

Почему: discuss уже включает идею about.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""Discuss about it"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
