"id","type","platform_priority","text","media_file","why_viral"
"sm_001","text_thread","threads>facebook","Неприятная правда: взрослые часто знают больше английского, чем могут сказать вслух.

Ситуация: рабочий звонок.
На рабочем звонке английский есть в голове, но ответ не выходит вовремя.

Что обычно происходит:
1. человек понимает вопрос
2. начинает переводить с русского
3. боится ошибки
4. отвечает слишком резко или молчит

Лучше иметь готовые входы:
• Let me check that.
• I need a minute to think.
• What I mean is...

Не надо ждать идеального английского. Нужен первый спокойный ход.","","узнаваемая взрослая боль; комментарии про личный опыт; можно сохранить как опору"
"sm_002","saveable_phrase_bank","instagram>facebook>threads","5 фраз на английском для ситуации: банк

1. I don't recognize this charge.
2. Could you check the details?
3. I'd like to dispute it.
4. When will I get an update?
5. Could you send confirmation?

Смысл не в том, чтобы выучить список.
Смысл в том, чтобы в стрессовый момент не собирать английский с нуля.","media/sm_002.png","сохраняемость; практическая ситуация; короткий список"
"sm_003","mistake_fix","instagram>threads>facebook","Не говори: I am agree
Лучше: I agree.

Почему: agree уже глагол, ему не нужен am.

Такие ошибки не страшные. Но они сразу выдают перевод с русского.
Сохрани, если хочешь звучать естественнее.","media/sm_003.png","быстрый дофамин исправления; легко репостнуть; простая польза"
"sm_004","comment_prompt","threads>facebook","Как бы ты сказал по-английски: ""My child has problem."" без грубости?

Мой вариант:
I'd like to talk about something I'm concerned about.

А теперь интересно: какой вариант первым пришёл тебе в голову?","","просит лёгкий комментарий; нет стыда; люди сравнивают варианты"
"sm_005","adult_micro_story","facebook>threads","Взрослый английский начинается не с Present Perfect.

Он начинается, когда small talk, тебе нужно сказать что-то простое, но спокойно.

Не Normal.
А: Pretty good, thanks.

Люди 30+ хотят не казаться закрытыми или странными в обычном разговоре.

Phraseman помогает тренировать живые фразы с озвучкой и объяснениями по-русски.","","эмоциональный контекст; мягкая продажа; 30+ узнают себя"
"sm_006","carousel_seed","instagram>facebook","Карусель: отель

Слайд 1: В отеле нужно объяснить проблему спокойно: номер, карта, шум, поздний заезд.
Слайд 2: Неудачный дословный вариант — My room is bad.
Слайд 3: Почему это звучит не так
Слайд 4-8: There seems to be a problem with my room. / The key card isn't working. / Could someone take a look? / Is it possible to change rooms? / Thank you for sorting this out.
Финал: тренируй готовые фразы, а не отдельные слова.","media/sm_006.png","IG/FB любят сохраняемые карточки; понятная серия; сценарность"
"sm_007","text_thread","threads>facebook","Неприятная правда: взрослые часто знают больше английского, чем могут сказать вслух. — для жизни за границей, вариант 2

Неприятная правда: взрослые часто знают больше английского, чем могут сказать вслух.

Ситуация: аренда.
Когда дома что-то сломалось, хочется написать арендодателю без агрессии.

Что обычно происходит:
1. человек понимает вопрос
2. начинает переводить с русского
3. боится ошибки
4. отвечает слишком резко или молчит

Лучше иметь готовые входы:
• The heating stopped working.
• Could someone take a look?
• It's quite urgent.

Не надо ждать идеального английского. Нужен первый спокойный ход.","","узнаваемая взрослая боль; комментарии про личный опыт; можно сохранить как опору"
"sm_008","saveable_phrase_bank","instagram>facebook>threads","5 фраз на английском для ситуации: собеседование

1. My main experience is in...
2. I was responsible for...
3. One project I'm proud of is...
4. What I learned there was...
5. I'm looking for a role where...

Смысл не в том, чтобы выучить список.
Смысл в том, чтобы в стрессовый момент не собирать английский с нуля.","media/sm_008.png","сохраняемость; практическая ситуация; короткий список"
"sm_009","mistake_fix","instagram>threads>facebook","Не говори: Tell me please
Лучше: Could you tell me, please?

Почему: прямой порядок звучит как команда.

Такие ошибки не страшные. Но они сразу выдают перевод с русского.
Сохрани, если хочешь звучать естественнее.","media/sm_009.png","быстрый дофамин исправления; легко репостнуть; простая польза"
"sm_010","comment_prompt","threads>facebook","Как бы ты сказал по-английски: ""This is wrong."" без грубости?

Мой вариант:
Sorry, I think there was a mix-up.

А теперь интересно: какой вариант первым пришёл тебе в голову?","","просит лёгкий комментарий; нет стыда; люди сравнивают варианты"
"sm_011","adult_micro_story","facebook>threads","Взрослый английский начинается не с Present Perfect, а с фразы в моменте. — для поездки, вариант 2

Взрослый английский начинается не с Present Perfect.

Он начинается, когда возврат денег, тебе нужно сказать что-то простое, но спокойно.

Не Give me my money back.
А: I'd like to request a refund.

Деньги и сервис дают сильную практическую ценность.

Phraseman помогает тренировать живые фразы с озвучкой и объяснениями по-русски.","","эмоциональный контекст; мягкая продажа; 30+ узнают себя"
"sm_012","carousel_seed","instagram>facebook","Карусель: телефонный звонок

Слайд 1: По телефону английский сложнее: нет жестов, мимики и времени подумать.
Слайд 2: Неудачный дословный вариант — I don't hear.
Слайд 3: Почему это звучит не так
Слайд 4-8: Sorry, the line is breaking up. / Could you repeat the last part? / Let me write that down. / Could you send it by email as well? / Thanks, that's clear now.
Финал: тренируй готовые фразы, а не отдельные слова.","media/sm_012.png","IG/FB любят сохраняемые карточки; понятная серия; сценарность"
