"Provider","Date","Text","Local Folder","Media Count","Note"
"instagram","2026-06-13T09:00:00+01:00","Английский вроде есть, но на рабочем звонке речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","post_001","8","YouTube excluded. API blocked by Publer plan; use this as manual schedule/import checklist."
"instagram","2026-06-13T13:00:00+01:00","На английском ты хотел попросить файл, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","post_002","8","YouTube excluded. API blocked by Publer plan; use this as manual schedule/import checklist."
"instagram","2026-06-13T17:00:00+01:00","В английском разговоре нужна не теория, а набор фраз для ситуации: если не понял английский на слух. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","post_003","8","YouTube excluded. API blocked by Publer plan; use this as manual schedule/import checklist."
"instagram","2026-06-13T20:00:00+01:00","Реальная ситуация на английском: в банке списали деньги. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","post_004","8","YouTube excluded. API blocked by Publer plan; use this as manual schedule/import checklist."
"instagram","2026-06-14T09:00:00+01:00","На английском I very like it выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","post_005","8","YouTube excluded. API blocked by Publer plan; use this as manual schedule/import checklist."
"instagram","2026-06-14T13:00:00+01:00","Английский вроде есть, но у врача речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","post_006","8","YouTube excluded. API blocked by Publer plan; use this as manual schedule/import checklist."
"instagram","2026-06-14T17:00:00+01:00","На английском ты хотел отказаться от встречи, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","post_007","8","YouTube excluded. API blocked by Publer plan; use this as manual schedule/import checklist."
"instagram","2026-06-14T20:00:00+01:00","В английском разговоре нужна не теория, а набор фраз для ситуации: если на английском надо выиграть паузу. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","post_008","8","YouTube excluded. API blocked by Publer plan; use this as manual schedule/import checklist."
"instagram","2026-06-15T09:00:00+01:00","Реальная ситуация на английском: у врача нужно описать боль. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","post_009","8","YouTube excluded. API blocked by Publer plan; use this as manual schedule/import checklist."
"instagram","2026-06-15T13:00:00+01:00","На английском Tell me please выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","post_010","8","YouTube excluded. API blocked by Publer plan; use this as manual schedule/import checklist."
