video|slot|role|phrase_en|ipa|translation_ru
1|1|source_hook|SHUT UP|ʃʌt ʌp|ЗАТКНИСЬ
1|2|source|I AM HOME|aɪ əm həʊm|Я ДОМА
1|3|source|OPEN THE DOOR|ˈəʊpən ðə dɔː|ОТКРОЙ ДВЕРЬ
1|4|source|I LIKE THIS|aɪ laɪk ðɪs|МНЕ ЭТО НРАВИТСЯ
1|5|source|SHE IS HERE|ʃiː ɪz hɪə|ОНА ЗДЕСЬ
2|1|source_hook|TURN LEFT|tɜːn left|ПОВЕРНИ НАЛЕВО
2|2|source|DON'T TOUCH ME|dəʊnt tʌtʃ miː|НЕ ТРОГАЙ МЕНЯ
2|3|source|WHAT IS THIS?|wɒt ɪz ðɪs|ЧТО ЭТО?
2|4|source|I NEED HELP|aɪ niːd help|МНЕ НУЖНА ПОМОЩЬ
2|5|source|CLOSE THE WINDOW|kləʊz ðə ˈwɪndəʊ|ЗАКРОЙ ОКНО
3|1|source_hook|HE IS READY|hiː ɪz ˈredi|ОН ГОТОВ
3|2|source|I FEEL GOOD|aɪ fiːl ɡʊd|Я ЧУВСТВУЮ СЕБЯ ХОРОШО
3|3|source|LEAVE ME ALONE|liːv miː əˈləʊn|ОСТАВЬ МЕНЯ В ПОКОЕ
3|4|source|COME WITH ME|kʌm wɪð miː|ПОЙДЁМ СО МНОЙ
3|5|source|STOP RIGHT NOW|stɒp raɪt naʊ|ОСТАНОВИСЬ ПРЯМО СЕЙЧАС
4|1|source_hook|WE ARE LATE|wi ɑː leɪt|МЫ ОПАЗДЫВАЕМ
4|2|source|CALL ME|kɔːl miː|ПОЗВОНИ МНЕ
4|3|source|IT IS HOT|ɪt ɪz hɒt|ЖАРКО
4|4|source|GET OUT NOW|ɡet aʊt naʊ|УБИРАЙСЯ ОТСЮДА
4|5|source|I AM BUSY|aɪ əm ˈbɪzi|Я ЗАНЯТ
5|1|source_hook|SIT DOWN|sɪt daʊn|САДИСЬ
5|2|source|WHAT ARE YOU DOING?|wɒt ɑː juː ˈduːɪŋ|ЧТО ТЫ ДЕЛАЕШЬ?
5|3|source|I WORK TODAY|aɪ wɜːk təˈdeɪ|Я РАБОТАЮ СЕГОДНЯ
5|4|source|THIS IS MINE|ðɪs ɪz maɪn|ЭТО МОЁ
5|5|source|LOOK AT MY FACE|lʊk ət maɪ feɪs|ПОСМОТРИ МНЕ В ЛИЦО
6|1|source_hook|HE IS TIRED|hiː ɪz ˈtaɪəd|ОН УСТАЛ
6|2|source|I WANT FOOD|aɪ wɒnt fuːd|Я ХОЧУ ЕСТЬ
6|3|source|WAIT HERE|weɪt hɪə|ПОДОЖДИ ЗДЕСЬ
6|4|source|SHE IS HAPPY|ʃiː ɪz ˈhæpi|ОНА СЧАСТЛИВА
6|5|source|I FEEL BAD|aɪ fiːl bæd|Я ЧУВСТВУЮ СЕБЯ ПЛОХО
