"Date","Text","Link","Media URL","Title","Label","Alt text(s)","Comment(s)","Pin board","Post subtype"
"","Английский вроде есть, но на рабочем звонке речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском ты хотел попросить файл, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","В английском разговоре нужна не теория, а набор фраз для ситуации: если не понял английский на слух. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Реальная ситуация на английском: в банке списали деньги. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском I very like it выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Английский вроде есть, но у врача речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском ты хотел отказаться от встречи, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","В английском разговоре нужна не теория, а набор фраз для ситуации: если на английском надо выиграть паузу. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Реальная ситуация на английском: у врача нужно описать боль. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском Tell me please выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Английский вроде есть, но на собеседовании речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском ты хотел попросить повторить, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","В английском разговоре нужна не теория, а набор фраз для ситуации: если нужно мягко пожаловаться. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Реальная ситуация на английском: арендодатель игнорирует ремонт. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском I feel myself bad выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Английский вроде есть, но в банке речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском ты хотел сказать, что не понял, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","В английском разговоре нужна не теория, а набор фраз для ситуации: если надо говорить с врачом. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Реальная ситуация на английском: на работе дедлайн нереальный. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском How is it called? выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Английский вроде есть, но с арендодателем речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском ты хотел попросить скидку, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
