"id","type","platform_priority","text","media_file","why_viral"
"sm_002","saveable_phrase_bank","instagram>facebook>threads","5 фраз на английском для ситуации: банк

1. I don't recognize this charge.
2. Could you check the details?
3. I'd like to dispute it.
4. When will I get an update?
5. Could you send confirmation?

Смысл не в том, чтобы выучить список.
Смысл в том, чтобы в стрессовый момент не собирать английский с нуля.","media/sm_002.png","сохраняемость; практическая ситуация; короткий список"
"sm_003","mistake_fix","instagram>threads>facebook","Не говори: I am agree
Лучше: I agree.

Почему: agree уже глагол, ему не нужен am.

Такие ошибки не страшные. Но они сразу выдают перевод с русского.
Сохрани, если хочешь звучать естественнее.","media/sm_003.png","быстрый дофамин исправления; легко репостнуть; простая польза"
"sm_006","carousel_seed","instagram>facebook","Карусель: отель

Слайд 1: В отеле нужно объяснить проблему спокойно: номер, карта, шум, поздний заезд.
Слайд 2: Неудачный дословный вариант — My room is bad.
Слайд 3: Почему это звучит не так
Слайд 4-8: There seems to be a problem with my room. / The key card isn't working. / Could someone take a look? / Is it possible to change rooms? / Thank you for sorting this out.
Финал: тренируй готовые фразы, а не отдельные слова.","media/sm_006.png","IG/FB любят сохраняемые карточки; понятная серия; сценарность"
"sm_008","saveable_phrase_bank","instagram>facebook>threads","5 фраз на английском для ситуации: собеседование

1. My main experience is in...
2. I was responsible for...
3. One project I'm proud of is...
4. What I learned there was...
5. I'm looking for a role where...

Смысл не в том, чтобы выучить список.
Смысл в том, чтобы в стрессовый момент не собирать английский с нуля.","media/sm_008.png","сохраняемость; практическая ситуация; короткий список"
"sm_009","mistake_fix","instagram>threads>facebook","Не говори: Tell me please
Лучше: Could you tell me, please?

Почему: прямой порядок звучит как команда.

Такие ошибки не страшные. Но они сразу выдают перевод с русского.
Сохрани, если хочешь звучать естественнее.","media/sm_009.png","быстрый дофамин исправления; легко репостнуть; простая польза"
"sm_012","carousel_seed","instagram>facebook","Карусель: телефонный звонок

Слайд 1: По телефону английский сложнее: нет жестов, мимики и времени подумать.
Слайд 2: Неудачный дословный вариант — I don't hear.
Слайд 3: Почему это звучит не так
Слайд 4-8: Sorry, the line is breaking up. / Could you repeat the last part? / Let me write that down. / Could you send it by email as well? / Thanks, that's clear now.
Финал: тренируй готовые фразы, а не отдельные слова.","media/sm_012.png","IG/FB любят сохраняемые карточки; понятная серия; сценарность"
"sm_014","saveable_phrase_bank","instagram>facebook>threads","5 фраз на английском для ситуации: документы

1. Which documents do I need to provide?
2. Is a copy enough?
3. Could you confirm the deadline?
4. Where should I upload it?
5. Do I need to bring the original?

Смысл не в том, чтобы выучить список.
Смысл в том, чтобы в стрессовый момент не собирать английский с нуля.","media/sm_014.png","сохраняемость; практическая ситуация; короткий список"
"sm_015","mistake_fix","instagram>threads>facebook","Не говори: I feel myself bad
Лучше: I don't feel well.

Почему: myself здесь лишний.

Такие ошибки не страшные. Но они сразу выдают перевод с русского.
Сохрани, если хочешь звучать естественнее.","media/sm_015.png","быстрый дофамин исправления; легко репостнуть; простая польза"
"sm_018","carousel_seed","instagram>facebook","Карусель: банк

Слайд 1: В банке или поддержке хочется спорить спокойно, а не звучать грубо.
Слайд 2: Неудачный дословный вариант — You took my money.
Слайд 3: Почему это звучит не так
Слайд 4-8: I don't recognize this charge. / Could you check the details? / I'd like to dispute it. / When will I get an update? / Could you send confirmation?
Финал: тренируй готовые фразы, а не отдельные слова.","media/sm_018.png","IG/FB любят сохраняемые карточки; понятная серия; сценарность"
"sm_020","saveable_phrase_bank","instagram>facebook>threads","5 фраз на английском для ситуации: врач

1. It hurts here.
2. It started yesterday.
3. It gets worse when I move.
4. It feels sharp.
5. What should I do next?

Смысл не в том, чтобы выучить список.
Смысл в том, чтобы в стрессовый момент не собирать английский с нуля.","media/sm_020.png","сохраняемость; практическая ситуация; короткий список"
