video|slot|role|phrase_en|translation_ru|note
1|1|hook|Stop translating|Хватит переводить|direct challenge
1|2|spark|Say it|Скажи это|simple command
1|3|bait|I'm good|Мне норм|not always я хороший
1|4|slang|Cut it out|Завязывай|natural scolding
1|5|punch|Shut up|Да ладно|often surprise, not silence
2|1|hook|You're cooked|Тебе конец|viral doom slang
2|2|spark|Calm down|Остынь|conflict phrase
2|3|bait|I'm dead|Я ору|not literal death
2|4|slang|No way|Да ну|reaction bait
2|5|punch|Get real|Очнись|blunt ending
3|1|hook|That's bullshit|Это бред|strong hook
3|2|spark|Prove it|Докажи|comment trigger
3|3|bait|Bull shit|Бычье дерьмо|looks literal, phrase is bullshit
3|4|slang|Total bullshit|Полный бред|repetition with force
3|5|punch|Stop lying|Не ври|argument bait
4|1|hook|Fuck off|Отвали|strong profanity hook
4|2|spark|Back off|Отстань|boundary phrase
4|3|bait|Piss off|Вали отсюда|not pee away
4|4|slang|Screw you|Пошел ты|insult phrase
4|5|punch|Leave me|Оставь меня|emotional close
5|1|hook|This hits|Цепляет|TikTok wording
5|2|spark|Hits different|Иначе заходит|viral phrase
5|3|bait|Hit on|Клеиться|not ударить сверху
5|4|slang|Ping me|Пиши мне|message me slang
5|5|punch|Hard pass|Точно нет|commentable refusal
6|1|hook|You're wrong|Ты не прав|comment bait
6|2|spark|Watch closely|Смотри лучше|view retention
6|3|bait|You're welcome|Пожалуйста|not you are welcome
6|4|slang|My bad|Мой косяк|casual apology
6|5|punch|Fair enough|Ладно честно|soft landing
7|1|hook|No cap|Без вранья|Gen Z hook
7|2|spark|Real talk|Серьезно|native vibe
7|3|bait|That's cap|Это вранье|not only кепка
7|4|slang|That's fire|Это огонь|not literal fire
7|5|punch|Low key|По-тихому|slang retention
8|1|hook|Red flag|Красный флаг|dating hook
8|2|spark|Run fast|Беги быстро|drama
8|3|bait|Green flag|Хороший знак|not literal flag
8|4|slang|Toxic much|Токсично прям|comment bait
8|5|punch|Dump him|Брось его|dating drama
9|1|hook|Stop texting|Хватит писать|dating pain
9|2|spark|Text back|Ответь ему|common action
9|3|bait|Hit me|Напиши мне|not beat me
9|4|slang|Ghost me|Игнорь меня|modern dating
