video|slot|role|phrase_en|translation_ru|note
01|1|hook|Stop translating|Хватит переводить|лобовой старт
01|2|useful|Say this|Скажите так|практичный мост
01|3|bait|I'm fine|Со мной все нормально|bait: не всегда радостное "я в порядке"; часто закрывает разговор
01|4|support_hook|Language trap|Языковая ловушка|лобовой старт
01|5|support_useful|Choose wisely|Выбирайте мудро|практичный мост
02|1|hook|Sounds rude|Звучит грубо|лобовой старт
02|2|useful|Be polite|Будьте вежливы|практичный мост
02|3|bait|Good luck|Удачи|bait: это устойчивая формула, а не "хорошая удача"
02|4|support_hook|Translation war|Война переводов|лобовой старт
02|5|support_useful|Choose carefully|Выбирайте осторожно|практичный мост
03|1|hook|Wrong answer|Неверный ответ|лобовой старт
03|2|useful|Try again|Попробуйте снова|практичный мост
03|3|bait|What's up|Как дела|bait: не "что наверху"; это приветствие или вопрос что случилось
03|4|support_hook|Hot take|Спорное мнение|лобовой старт
03|5|support_useful|Smile more|Улыбайтесь больше|практичный мост
04|1|hook|Native English|Живой английский|лобовой старт
04|2|useful|Listen closely|Слушайте внимательно|практичный мост
04|3|bait|I'm full|Я сыт|bait: не "я полный"; про еду и насыщение
04|4|support_hook|Quick hook|Быстрый крючок|лобовой старт
04|5|support_useful|Smile politely|Улыбнитесь вежливо|практичный мост
05|1|hook|Tiny trap|Маленькая ловушка|лобовой старт
05|2|useful|Keep going|Продолжайте|практичный мост
05|3|bait|I'm hot|Мне жарко|bait: не "я горячий"; в английском это легко звучит не так
05|4|support_hook|Hard stop|Жесткая остановка|лобовой старт
05|5|support_useful|Speak plainly|Говорите просто|практичный мост
06|1|hook|Don't guess|Не угадывайте|лобовой старт
06|2|useful|Ask clearly|Спросите ясно|практичный мост
06|3|bait|Come on|Да ладно|bait: не "приходи на"; смысл зависит от интонации
06|4|support_hook|Direct question|Прямой вопрос|лобовой старт
06|5|support_useful|Write neatly|Пишите аккуратно|практичный мост
07|1|hook|Say less|Говорите короче|лобовой старт
07|2|useful|Speak slowly|Говорите медленно|практичный мост
07|3|bait|Go on|Продолжайте|bait: не "иди на"; это просьба продолжать
07|4|support_hook|First frame|Первый кадр|лобовой старт
07|5|support_useful|Read carefully|Читайте внимательно|практичный мост
